,Product,URL,PDF_Link,Unnamed: 3
2,SAP Access Control,http://www.sap.com/products/access-control.html,https://www.sap.com/docs/download/2017/02/0250c809-aa7c-0010-82c7-eda71af511fa.pdf,
3,SAP Access Violation Management by Greenlight,http://www.sap.com/products/access-violation-management.html,https://www.sap.com/docs/download/2014/05/281f633b-437c-0010-82c7-eda71af511fa.pdf,
4,SAP Account Substantiation and Automation by BlackLine,http://www.sap.com/products/account-reconciliation-automation-blackline.html,https://www.sap.com/docs/download/2018/12/229bf8a7-2e7d-0010-87a3-c30de2ffd8ff.pdf,
5,SAP Adaptive Server Enterprise,http://www.sap.com/products/sybase-ase.html,https://www.sap.com/docs/download/2015/10/a2f7e10e-497c-0010-82c7-eda71af511fa.pdf,
6,SAP Advanced Data Migration by Syniti,http://www.sap.com/products/advanced-data-migration-software.html,https://www.sap.com/docs/download/2019/10/c8ca4ea2-6c7d-0010-87a3-c30de2ffd8ff.pdf,
9,SAP Agent Performance Management ,http://www.sap.com/products/agent-performance-management.html,https://www.sap.com/docs/download/2018/12/aa166b82-2e7d-0010-87a3-c30de2ffd8ff.pdf,
10,SAP Agile Data Preparation ,http://www.sap.com/products/data-preparation.html,https://www.sap.com/docs/download/2016/02/84b0ff54-5e7c-0010-82c7-eda71af511fa.pdf,
11,SAP Agricultural Contract Management,http://www.sap.com/products/agricultural-contract.html,https://www.sap.com/docs/download/2016/10/36da130c-8f7c-0010-82c7-eda71af511fa.pdf,
12,SAP Analytics Cloud,http://www.sap.com/products/cloud-analytics.html,https://www.sap.com/docs/download/2016/02/5c1f8d00-617c-0010-82c7-eda71af511fa.pdf,
14,SAP Application Interface Framework,http://www.sap.com/products/application-interface-mgmt.html,https://www.sap.com/docs/download/2018/11/fea4f532-2a7d-0010-87a3-c30de2ffd8ff.pdf,
17,SAP Archiving and Document Access by OpenText,http://www.sap.com/products/documents-access-archiving.html,https://www.sap.com/docs/download/2015/08/5217be37-427c-0010-82c7-eda71af511fa.pdf,
18,SAP Ariba Buying,http://www.ariba.com/solutions/solutions-overview/procurement/sap-ariba-buying,https://www.ariba.com/-/media/aribacom/assets/pdf-assets/sap-ariba-buying.pdf?la=en-us&hash=05D3114C6555F6CD3C0A22B3DCAD2303514E9B70,
19,SAP Ariba Buying and Invoicing,http://www.ariba.com/solutions/solutions-overview/procurement/procure-to-pay,https://www.ariba.com/-/media/aribacom/assets/pdf-assets/sap-ariba-buying-and-invoicing.pdf,
20,SAP Ariba Catalog,http://www.ariba.com/solutions/solutions-overview/procurement/catalog,https://www.ariba.com/-/media/aribacom/assets/pdf-assets/sap-ariba-best-practices-center-procurement.pdf,
22,SAP Ariba Contracts,http://www.ariba.com/solutions/solutions-overview/strategic-sourcing/contract-management-software,https://www.ariba.com/-/media/aribacom/assets/pdf-assets/sap-ariba-contracts-solution-brief.pdf,
23,SAP Ariba Discovery,http://www.ariba.com/solutions/solutions-overview/strategic-sourcing/sap-ariba-discovery,https://www.ariba.com/-/media/aribacom/assets/pdf-assets/sap-ariba-discovery-for-buyers-solution-brief.pdf,
25,Ariba Network,http://www.ariba.com/about/ariba-network,https://www.ariba.com/-/media/aribacom/assets/pdf-assets/ariba-network-enabling-business-commerce-in-the-digital-economy.pdf,
27,SAP Ariba Spend Analysis,http://www.ariba.com/solutions/solutions-overview/strategic-sourcing/sap-ariba-spend-analysis,https://www.ariba.com/-/media/aribacom/assets/pdf-assets/sap-ariba-spend-analysis-solution-brief.pdf,
29,SAP Ariba Strategic Sourcing Suite,http://www.ariba.com/solutions/solutions-overview/strategic-sourcing/sap-ariba-sourcing-solutions,https://www.ariba.com/-/media/aribacom/assets/pdf-assets/are-your-trading-partners-worth-more-than-a-spreadsheet.pdf,
31,SAP Ariba Supplier Risk,http://www.ariba.com/solutions/solutions-overview/supplier-management/supplier-risk,https://www.ariba.com/-/media/aribacom/assets/pdf-assets/are-your-trading-partners-worth-more-than-a-spreadsheet.pdf,
33,SAP Assessment Management by Questionmark,http://www.sap.com/products/assessment-authoring.html,https://www.sap.com/docs/download/2013/11/58bc2aa9-6d7c-0010-82c7-eda71af511fa.pdf,
35,SAP Asset Intelligence Network,http://www.sap.com/products/asset-intelligence-network.html,https://www.sap.com/docs/download/2016/02/70359e3b-5e7c-0010-82c7-eda71af511fa.pdf,
36,SAP Asset Manager,http://www.sap.com/products/asset-manager.html,https://www.sap.com/docs/download/2018/12/f242b238-307d-0010-87a3-c30de2ffd8ff.pdf,
37,SAP Asset Strategy and Performance Management,http://www.sap.com/products/asset-strategy-performance.html,https://www.sap.com/docs/download/2018/07/4c5c363c-127d-0010-87a3-c30de2ffd8ff.pdf,
38,SAP Audit Management,http://www.sap.com/products/audit-management.html,https://www.sap.com/docs/download/2014/06/667dc462-0e7d-0010-87a3-c30de2ffd8ff.pdf,
41,SAP Business ByDesign,http://www.sap.com/products/business-bydesign.html,https://www.sap.com/docs/download/2016/09/383db8df-897c-0010-82c7-eda71af511fa.pdf,
42,SAP Business Integrity Screening,http://www.sap.com/products/fraud-management.html,https://www.sap.com/docs/download/2017/10/9c7f37ac-d87c-0010-82c7-eda71af511fa.pdf,
43,SAP Business One,http://www.sap.com/products/business-one.html,https://www.sap.com/docs/download/2016/11/2e4955be-937c-0010-82c7-eda71af511fa.pdf,
48,CallidusCloud Direct Selling Pro,http://www.sap.com/products/direct-selling-pro.html,https://www.sap.com/docs/download/2018/12/d41f8b75-2e7d-0010-87a3-c30de2ffd8ff.pdf,
49,CallidusCloud Insurance Incentive Compensation Management,http://www.sap.com/products/insurance-incentive-compensation-management.html,https://www.sap.com/docs/download/2018/12/3ac9d0b2-2d7d-0010-87a3-c30de2ffd8ff.pdf,
58,SAP Cloud for Real Estate,http://www.sap.com/products/real-estate-facilities-mgmt-cloud.html,https://www.sap.com/docs/download/2017/02/e2a1e4da-a87c-0010-82c7-eda71af511fa.pdf,
59,SAP Cloud Identity Access Governance,http://www.sap.com/products/cloud-iam.html,https://www.sap.com/docs/download/2018/07/864e3f79-137d-0010-87a3-c30de2ffd8ff.pdf,
61,SAP Cloud Platform Big Data Services,http://www.sap.com/products/cloud-platform/capabilities/data-driven-insights.big-data-services.html,https://www.sap.com/docs/download/2016/01/a0ba932a-5b7c-0010-82c7-eda71af511fa.pdf,
63,SAP Cloud Platform IoT,http://www.sap.com/products/iot-platform-cloud.html,https://www.sap.com/docs/download/2017/08/76a5bdd4-cf7c-0010-82c7-eda71af511fa.pdf,
64,SAP Cloud Platform Mobile Services,http://www.sap.com/products/cloud-platform/capabilities/digital-experience.mobile-services.html,https://www.sap.com/docs/download/2016/01/a0ba932a-5b7c-0010-82c7-eda71af511fa.pdf,
66,SAP Cloud Platform API management,http://www.sap.com/products/api-management.html,https://www.sap.com/docs/download/2016/06/c0ed5fb9-757c-0010-82c7-eda71af511fa.pdf,
68,SAP Commerce Cloud,http://www.sap.com/products/crm/e-commerce-platforms.html,https://www.sap.com/docs/download/2018/05/c0628d12-157d-0010-87a3-c30de2ffd8ff.pdf,
70,SAP Commerce Marketplace Management by Mirakl,http://www.sap.com/products/commerce-marketplace-management.html,https://www.sap.com/docs/download/2018/12/bec2aa3f-307d-0010-87a3-c30de2ffd8ff.pdf,
80,SAP Content Stream by Skillsoft,http://www.sap.com/products/content-stream-skillsoft.html,https://www.sap.com/docs/download/2019/12/bee69075-777d-0010-87a3-c30de2ffd8ff.pdf,
90,SAP Crystal Solutions,http://www.sap.com/products/crystal-bi.html,https://www.sap.com/docs/download/2018/12/78355a9d-2d7d-0010-87a3-c30de2ffd8ff.pdf,
